City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,lompoc,34.6391,-120.4579,19.21,94,75,0.0,US,1689691045
172,guarapari,-20.6667,-40.4975,29.38,66,6,3.46,BR,1689691360
173,kudahuvadhoo,2.6708,72.8944,28.79,71,57,2.7,MV,1689691042
174,ampanihy,-24.7,44.75,22.67,46,0,4.5,MG,1689691361
175,tazovsky,67.4667,78.7,16.11,65,63,3.72,RU,1689691126
176,daru,-9.0763,143.2092,23.96,87,9,4.88,PG,1689691040
177,puerto aysen,-45.4,-72.7,1.42,72,100,0.43,CL,1689691361
178,myanaung,18.2833,95.3167,27.53,72,100,2.39,MM,1689691361
179,hasaki,35.7333,140.8333,24.22,87,100,2.94,JP,1689691117
180,brownsburg-chatham,45.6834,-74.4159,20.82,75,89,1.47,CA,1689691361
181,qarazhal,48.0078,70.7903,31.04,23,94,1.16,KZ,1689691362
182,nar'yan-mar,67.6713,53.087,19.64,74,99,1.13,RU,1689691062
183,taro,-8.3862,115.28,22.0,90,82,1.23,ID,1689691362
184,thurso,58.5927,-3.5259,14.92,78,99,4.96,GB,1689691362
185,saldanha,-33.0117,17.9442,16.03,81,63,6.95,ZA,1689691090
186,al hawatah,13.4167,34.6333,38.21,26,27,1.83,SD,1689691362
187,puerto san jose,13.9256,-90.8244,29.06,63,86,1.22,GT,1689691362
188,ostersund,63.1792,14.6357,13.25,35,40,5.14,SE,1689691111
189,jamestown,42.097,-79.2353,22.77,93,75,3.6,US,1689690906
190,carolina beach,34.0352,-77.8936,32.03,74,73,1.84,US,1689691054
191,magistral'nyy,56.1725,107.4458,11.41,84,7,1.83,RU,1689691363
192,saipan,15.1355,145.701,28.14,100,40,2.57,MP,1689691029
193,manakara,-22.1333,48.0167,21.15,81,2,2.26,MG,1689691363
194,puerto ayora,-0.7393,-90.3518,26.98,92,65,4.02,EC,1689691046
195,prabumulih,-3.45,104.25,23.47,87,44,1.56,ID,1689691125
196,lebu,-37.6167,-73.65,10.16,58,100,3.96,CL,1689691022
197,calvi,42.5,8.8333,28.35,62,0,2.57,FR,1689691364
198,novodvinsk,64.4165,40.8122,23.25,47,95,2.59,RU,1689691364
199,basco,20.4487,121.9702,29.01,78,100,6.11,PH,1689691132
200,urengoy,65.9667,78.3667,19.41,57,100,2.59,RU,1689691118
201,kissidougou,9.1848,-10.0999,23.45,93,98,1.09,GN,1689691364
202,coahuayana de hidalgo,18.7,-103.6583,29.73,68,98,1.27,MX,1689691365
203,aasiaat,68.7098,-52.8699,3.04,93,100,3.24,GL,1689691031
204,qamdo,31.1667,97.2333,6.34,75,57,1.51,CN,1689691365
205,salinopolis,-0.6136,-47.3561,29.58,65,5,5.52,BR,1689691365
206,bardai,11.65,7.2333,35.01,33,44,3.44,NG,1689691130
207,mutuali,-14.8706,37.0044,24.3,38,47,2.36,MZ,1689691365
208,suva,-18.1416,178.4415,20.71,78,75,2.06,FJ,1689691046
209,trairi,-3.2778,-39.2689,31.24,47,0,6.89,BR,1689691073
210,khilok,51.3674,110.4676,13.98,76,3,2.45,RU,1689691366
211,mezhdurechensk,53.6942,88.0603,17.7,83,11,1.1,RU,1689691366
212,arvayheer,46.2639,102.775,13.94,84,100,2.85,MN,1689691366
213,cururupu,-1.8283,-44.8683,31.05,51,1,3.97,BR,1689691307
214,yalutorovsk,56.6536,66.3006,20.33,77,100,8.57,RU,1689691366
215,coyhaique,-45.5752,-72.0662,-8.03,93,100,0.0,CL,1689691366
216,chivilcoy,-34.8957,-60.0167,7.26,52,68,3.03,AR,1689691366
217,berlin,52.5244,13.4105,27.21,39,0,5.36,DE,1689690695
218,mahina,-17.5065,-149.489,24.87,69,20,4.63,PF,1689691367
219,hassi messaoud,31.6804,6.0729,43.58,8,32,6.91,DZ,1689691093
220,obigarm,38.7173,69.7088,27.29,23,15,1.93,TJ,1689691367
221,wenchang,30.904,118.4887,25.78,93,100,1.63,CN,1689691367
222,usinsk,65.9939,57.5281,23.47,55,63,3.28,RU,1689691368
223,nuuk,64.1835,-51.7216,10.34,100,100,2.06,GL,1689691049
224,veinticinco de mayo,-35.4323,-60.1727,7.5,46,37,3.3,AR,1689691368
225,mount pearl,47.5166,-52.7813,25.19,85,75,9.26,CA,1689691064
226,crane,31.3974,-102.3501,30.63,41,0,8.7,US,1689691368
227,upata,8.0086,-62.3989,28.44,52,12,2.9,VE,1689691368
228,sungai penuh,-2.0833,101.3833,18.56,99,99,1.38,ID,1689691113
229,alaghsas,17.0187,8.0168,41.94,19,40,4.12,NE,1689691369
230,sleaford,52.9983,-0.4094,18.92,73,100,4.63,GB,1689691369
231,saint-pierre,-21.3393,55.4781,22.82,73,0,6.69,RE,1689691124
232,misratah,32.3754,15.0925,30.9,58,0,6.17,LY,1689691369
233,ribeira grande,38.5167,-28.7,22.65,73,20,2.24,PT,1689691061
234,san rafael,-34.6177,-68.3301,11.26,35,81,5.12,AR,1689690928
235,al jawf,29.5,38.75,39.01,9,0,5.55,SA,1689691102
236,port saint john's,-31.6229,29.5448,22.26,57,3,3.53,ZA,1689691122
237,nguigmi,14.2495,13.1092,38.13,27,37,5.18,NE,1689691037
238,syzran',53.1585,48.4681,24.21,46,75,3.92,RU,1689691370
239,urangan,-25.3,152.9,17.02,84,1,4.29,AU,1689691370
240,kharp,66.8014,65.8081,21.65,68,70,0.9,RU,1689691370
241,port macquarie,-31.4333,152.9167,11.35,81,5,3.08,AU,1689691098
242,macia,-25.0269,33.0989,21.19,41,0,2.56,MZ,1689691371
243,port blair,11.6667,92.75,29.02,79,75,5.14,IN,1689691371
244,laguna,38.421,-121.4238,27.2,64,0,3.6,US,1689691032
245,masterton,-40.9597,175.6575,12.16,93,21,1.56,NZ,1689691091
246,ishikawa,26.4233,127.8214,28.98,84,20,4.12,JP,1689691371
247,kaiama,9.6225,3.9481,31.52,61,98,1.67,NG,1689691371
248,praia da vitoria,38.7333,-27.0667,23.2,68,75,1.2,PT,1689691030
249,kavaratti,10.5669,72.642,28.13,81,83,8.27,IN,1689691372
250,sidhi,24.4167,81.8833,30.44,67,84,2.97,IN,1689691372
251,rexburg,43.826,-111.7897,20.0,57,0,0.0,US,1689691373
252,nelson bay,-32.7167,152.15,15.56,90,6,4.02,AU,1689691373
253,antsiranana,-12.2787,49.2917,26.42,53,20,5.14,MG,1689691373
254,harper,4.375,-7.7169,26.06,73,100,4.99,LR,1689691106
255,khandyga,62.6667,135.6,16.72,98,64,2.43,RU,1689691022
256,tshabong,-26.05,22.45,23.78,15,0,2.72,BW,1689691374
257,liaoyuan,42.9036,125.1358,20.06,89,0,1.32,CN,1689691231
258,katsuura,35.1333,140.3,25.39,90,100,3.53,JP,1689691374
259,new plymouth,-39.0667,174.0833,12.12,94,34,4.11,NZ,1689691374
260,kassala,15.451,36.4,38.81,21,7,4.08,SD,1689691247
261,naze,28.3667,129.4833,27.51,82,90,5.26,JP,1689691103
262,andergrove,-21.0833,149.1833,18.11,89,9,4.95,AU,1689691375
263,sibut,5.718,19.0739,29.18,73,52,2.85,CF,1689691375
264,yokadouma,3.5167,15.05,28.53,62,100,0.6,CM,1689691375
265,prado,-17.3411,-39.2208,26.57,64,7,4.98,BR,1689691375
266,sao joao da barra,-21.6403,-41.0511,28.05,69,14,2.42,BR,1689691376
267,salinas,36.6777,-121.6555,16.45,90,75,2.57,US,1689691188
268,uturoa,-16.7333,-151.4333,25.95,71,7,5.85,PF,1689691061
269,el calafate,-50.3408,-72.2768,-3.21,66,91,0.57,AR,1689691126
270,hakui,36.8833,136.7833,27.36,89,100,2.14,JP,1689691376
271,nacimiento,-37.5,-72.6667,3.43,67,100,0.86,CL,1689691376
272,bamboo flat,11.7,92.7167,29.05,79,75,5.14,IN,1689691376
273,carbonear,47.7332,-53.2148,25.91,89,69,6.5,CA,1689691377
274,fort portal,0.6617,30.2748,27.35,32,69,0.35,UG,1689691377
275,vilyuysk,63.7553,121.6247,9.83,94,25,2.31,RU,1689691377
276,verkhnyaya sinyachikha,57.976,61.6673,16.09,98,100,0.78,RU,1689691377
277,kayangel,8.0823,134.7173,26.95,81,100,9.57,PW,1689691377
278,yung shue wan,22.2333,114.1167,29.82,86,100,5.07,HK,1689691377
279,tralee,52.2704,-9.7026,17.6,79,42,4.44,IE,1689691034
280,westport,41.1415,-73.3579,29.62,81,40,3.6,US,1689691043
281,barra de santo antonio,-9.4047,-35.5072,27.6,67,11,4.46,BR,1689691378
282,bubaque,11.2833,-15.8333,26.28,83,99,4.19,GW,1689691040
283,nizhnesortymskiy,62.4397,71.7603,24.31,49,70,3.12,RU,1689691378
284,san antonio de pale,-1.4014,5.6325,23.44,84,25,4.65,GQ,1689691030
285,polyarnyy,69.1989,33.4478,17.96,66,100,1.48,RU,1689691053
286,puerto colombia,10.9878,-74.9547,29.05,67,100,0.75,CO,1689691378
287,ngama,11.7833,17.1667,37.5,30,70,1.2,TD,1689691090
288,mar del plata,-38.0023,-57.5575,7.19,73,0,3.09,AR,1689690831
289,alliance,40.9153,-81.1059,23.27,87,8,2.73,US,1689691379
290,choele choel,-39.2667,-65.6833,5.18,59,87,4.58,AR,1689691379
291,guajara mirim,-10.7828,-65.3394,28.09,74,40,4.63,BR,1689691105
292,tarko-sale,64.9225,77.785,20.61,54,74,3.43,RU,1689691379
293,ta`u,-14.2336,-169.5144,26.53,79,71,3.14,AS,1689691085
294,brak,27.5496,14.2714,38.64,11,0,5.61,LY,1689691380
295,vittel,48.2009,5.9484,27.9,44,0,1.03,FR,1689691380
296,hadibu,12.65,54.0333,25.89,73,21,9.84,YE,1689691108
297,undurkhaan,47.3194,110.6556,19.15,67,100,2.32,MN,1689691380
298,nizhniy kuranakh,58.8353,125.4869,15.74,97,100,1.78,RU,1689691380
299,zeya,53.75,127.2667,20.3,63,69,1.84,RU,1689691380
300,rongelap,11.1635,166.8941,28.44,76,17,6.39,MH,1689691051
301,kutum,14.2,24.6667,35.06,17,88,1.47,SD,1689691380
302,dunedin,-45.8742,170.5036,8.15,81,60,2.19,NZ,1689691048
303,hoopeston,40.4673,-87.6684,23.89,58,100,1.79,US,1689691381
304,kingston,17.997,-76.7936,27.53,83,75,3.09,JM,1689691337
305,port douglas,-16.4833,145.4667,21.69,81,39,3.94,AU,1689691075
306,illizi,26.4833,8.4667,38.89,8,1,8.02,DZ,1689691381
307,egilsstadir,65.2653,-14.3948,9.95,71,75,6.69,IS,1689691381
308,ketchikan,55.3422,-131.6461,14.26,94,100,5.66,US,1689691381
309,kapa'a,22.0752,-159.319,25.18,88,100,9.26,US,1689691047
310,riachao,-7.3619,-46.6172,33.75,24,6,4.45,BR,1689691382
311,san patricio,28.017,-97.5169,31.06,52,7,4.9,US,1689691119
312,juneau,58.3019,-134.4197,13.45,96,75,3.6,US,1689691382
313,mikuni,36.2171,136.1519,25.95,87,100,2.94,JP,1689691382
314,kelso,46.1468,-122.9084,16.32,88,75,1.54,US,1689691382
315,saudarkrokur,65.7461,-19.6394,8.43,81,85,4.46,IS,1689691383
316,dhidhdhoo,6.8833,73.1,28.37,78,100,6.45,MV,1689691383
317,dudinka,69.4058,86.1778,13.91,75,100,6.67,RU,1689691043
318,tetyushi,54.9382,48.8366,21.46,63,97,3.43,RU,1689691383
319,kolokani,13.5728,-8.0339,35.8,34,70,3.99,ML,1689691082
320,woolgoolga,-30.1106,153.2007,11.93,81,13,2.66,AU,1689691383
321,la ronge,55.1001,-105.2842,17.14,67,75,4.63,CA,1689691383
322,berdigestyakh,62.0989,126.6992,12.78,91,98,3.04,RU,1689691384
323,kristiansund,63.1115,7.732,14.03,71,75,6.69,NO,1689691045
324,tucson,32.2217,-110.9265,34.25,38,20,0.9,US,1689691294
325,jian'ou,27.0469,118.3253,26.33,88,99,1.23,CN,1689691384
326,harlingen,26.1906,-97.6961,31.06,88,40,7.72,US,1689691384
327,beli,7.8587,10.9719,31.69,63,89,0.91,NG,1689691384
328,portland,45.5234,-122.6762,17.01,80,0,2.57,US,1689690903
329,vydrino,51.485,104.8461,15.28,82,96,2.05,RU,1689691385
330,forster,-32.1667,152.5167,10.21,99,12,4.14,AU,1689691385
331,n'zeto,-7.2312,12.8666,23.59,76,12,4.56,AO,1689691385
332,bandarbeyla,9.4942,50.8122,24.43,80,73,15.23,SO,1689691385
333,muroto-misakicho,33.2833,134.15,26.84,91,100,5.52,JP,1689691385
334,leava,-14.3,-178.1667,26.42,82,100,11.99,WF,1689691385
335,broome,42.2506,-75.833,24.0,86,100,3.6,US,1689691386
336,afaahiti,-17.75,-149.2833,23.93,72,27,5.91,PF,1689691052
337,sultanah,24.4926,39.5857,45.25,5,20,3.6,SA,1689691386
338,hotan,37.0997,79.9269,35.31,13,3,0.77,CN,1689691109
339,nikolayevsk-on-amure,53.1406,140.73,13.46,85,4,1.34,RU,1689691386
340,dorentrup,52.0411,9.0028,25.07,33,82,3.19,DE,1689691386
341,sinabang,2.4803,96.3801,26.45,83,100,2.84,ID,1689691387
342,thurgoona,-36.0451,146.9919,5.92,100,40,1.79,AU,1689691387
343,ribeira brava,32.65,-17.0667,24.84,69,30,1.72,PT,1689691387
344,hilo,19.7297,-155.09,24.85,88,75,3.6,US,1689691240
345,rio grande,-32.035,-52.0986,8.3,65,100,4.57,BR,1689691051
346,noyabrsk,63.1994,75.4507,22.0,49,64,4.27,RU,1689691372
347,mount gambier,-37.8333,140.7667,4.45,86,8,1.0,AU,1689691123
348,unionville,35.0874,-80.509,30.63,69,0,1.54,US,1689691388
349,palamos,41.8484,3.1291,36.78,61,1,7.32,ES,1689691388
350,petropavlovka,50.6114,105.3196,14.48,78,31,2.1,RU,1689691388
351,essaouira,31.5125,-9.77,31.72,51,20,5.14,MA,1689691388
352,polovinnoye,54.7914,65.9864,17.85,94,73,5.52,RU,1689691388
353,hajipur,25.6833,85.2167,32.99,75,75,3.09,IN,1689690984
354,metlili chaamba,32.2667,3.6333,41.52,7,0,4.63,DZ,1689691389
355,reserve,30.0538,-90.5518,31.66,83,0,1.54,US,1689691389
356,kinwat,19.6333,78.2,23.89,96,100,6.66,IN,1689691389
357,swakopmund,-22.6833,14.5333,30.47,52,0,8.12,NA,1689691389
358,pago pago,-14.2781,-170.7025,24.55,100,100,3.6,AS,1689691389
359,cidade velha,14.9167,-23.6167,27.26,61,75,6.17,CV,1689691131
360,mirny,62.5353,113.9611,10.17,73,30,1.61,RU,1689691390
361,bada,51.392,109.8717,13.74,79,3,1.69,RU,1689691048
362,sitia,35.2,26.0986,27.31,61,0,9.52,GR,1689691390
